FACILITY,SampleDate,Time,BuildingCode,SPCODE,LGT,AdClip,Size_Run,DNA_Run,CWT_Run,CATCH,Salvage,LOSS
2,12/4/2024,14:00,F,1,147,C,LF,,LF,1,4,2.6
2,12/4/2024,14:00,F,1,147,C,LF,,LF,1,4,2.6
2,12/4/2024,14:00,F,1,162,C,LF,,LF,1,4,2.6
2,12/4/2024,14:00,F,1,163,C,LF,,LF,1,4,2.6
2,12/4/2024,16:00,F,1,131,C,LF,,LF,1,4,2.6
2,12/4/2024,16:00,F,1,136,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,127,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,130,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,131,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,134,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,142,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,144,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,145,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,147,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,149,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,149,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,151,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,151,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,156,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,158,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,167,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,167,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,167,C,LF,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,175,C,F,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,179,C,F,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,180,C,F,,LF,1,4,2.6
2,12/4/2024,18:00,F,1,180,C,F,,,1,4,2.6
2,12/4/2024,20:00,F,1,135,C,LF,,LF,1,4,2.6
